Company,Date,Time,Vehicle 1 Year,Vehicle Make,Vehicle Model,Address,City,County,Zip Code,Vehicle 1 Status,Vehicle 2 Status,Vehicles Involved,Describe Veh Damage,Mode,Weather,Lighting,Roadway Surface,Roadway Condition,Mov Proceed Col Veh 1,Mov Proceed Col Veh 2,Collision Type,Vehicle type,Location,Fault,Number of injuries,Injuries,Description,Damaged Area,Latitude,Longitude,Census Tract Code,Census Block Code,Census Block Group,Median Age,Population,White,Black,Asian,Hispanic,Other,Median Income
Delphi,10/14/14,7:27 PM,2014,Audi ,SQ5,San Antonio Road (600 Block),Palo Alto,Santa Clara,94303,Stopped in Traffic,Moving,2,Moderate,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Compact Car,Straight Road,Vehicle 2,0,None,"The Audi, in conventional mode, transitioned from Byron to San Antonio E/B and waited in the merge pocket for traffic to clear. After approximately 20 seconds of waiting stationary for traffic to clear, a Honda was observed to the left coming over the elevated center island. The Honda hit the right front of Audi and continued to go over another center island at 25-30 mph. Honda came to a stop approximately 75-100 yards from impact heading W/B in the E/B lane. Audi vehicle damage includes right fender, front bumper/fascia.

As reported in the attached Traffic Collision Report, 14-5925, the driver of the Honda was determined to have caused the accident by making an unsafe turning movement in violation of CVC 22107 and was served with a notice of priority reexamination of his driver's license. Attachment: Traffic Collision Report 14-5925
","1, 15, 16, 17, 18",37.468827,-122.141075,612002,1005,1,,,,,,,0,
Waymo LLC,2/26/15,12:00 AM,Unknown,Lexus,RX450h,El Camino Real and View St. ,Mountain View,Santa Clara,94040,Moving,Moving,2,Unknown,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"The Lexus AV was traveling northbound on El Camino Real in Autonomous Mode when an Audi sedan traveling wesrbound on View St. failed to come to a stop at the stop-sign at the intersection of El Camino Real and View St. The Audi rolled through the stop-sign and struck the right rear quarter panel and right rear wheel of the Lexus AV. Prior to the collision, the Lexus AV's autonomus tech began applying the brakes in response to its detection of the Audi's speed and trajectory. Just before the collisions, the driver of the Lexus AV disengaged Autonomous Mode and took maual control of the vehicle in response to the application of the brakes by the Lexus AV's autonomous technology. ","9, 10, 11",37.683107,-122.463616,601601,1004,1,,,,,,,0,
Waymo LLC,4/7/15,12:00 AM,2011,Lexus,RX450h,Castro St and El Camino,Mountain View,Santa Clara,94040,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Compact Car,Intersection,Vehicle 2,0,None,"The above identified Google Lexus autonomous vehicle (Google AV) was invilved in an accident in Mountain View when traveling northbound on Castro St. and making a right turn onto El Camino eastbound. The Google AV was operating in Autonomous Mode at the time of the accident. The Google AV was traveling northbound in the rightmost lane of Castro St. and came to a complete stop for a red light at the intersections of Castro St. and El Camino Real. The Google AV then proceeded to make a right turn on red by creepijng forward to obtain a better field of view of cross traffic on El Caminon Real and came to a stop in order to yeiled to the approaching vehicle. The Google AV was just starting to move (<1 MPH) when the vehicle following immediately behind it, which was also attempting to make a right turn onto El Camino Real, failed ot brake sufficeiently and struck the Google AV 's bumper at approximately 5 MPH. All occupants of both vehicles involved were uninjured in the collision. The Google AV sustained minimal body damage, and the other vehicle sustained no visible body damage. ","7, 8, 9",37.385699,-122.08397,509802,1000,1,,,,,,,0,
Waymo LLC,4/27/15,4:27 PM,2015,Lexus,RX450h,California St and Shoreline Blvd,Mountain View,Santa Clara,94043,Stopped in Traffic,Moving,2,None,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Mid-Sized Car,Intersection,Vehicle 2,0,None,"Lexus RX450H (the ""AV"") in autonomous mode heading southbound on California st in Mountain View, was stopped for a red light in hte right lane (lane 2) at the intersection of California St. and Shoreline Blvd. A Toyota Camry immediately behind the AV attemoted to pass the AV on its right in the bike lane, in order to make a right turn onto Shoreline Blvd. While passing the AV, the Toyota's driver's side mirror brushed one of the AV's sensors located on the passenger's side of the AV, Neither vehicle was damaged. ",15,37.392989,-122.08496,509600,2026,2,,,,,,,0,
Waymo LLC,5/30/15,12:00 PM,2011,Lexus,RX450h,720 Shoreline blvd,Mountain View,Santa Clara,94041,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling southbound on Shoreline Blvd. in Mountain View in autonomous mode and was stopped behind traffic at a red light at the intersection of Shoreline Blvd. and El Camino Real. A ford Expedition approaching from behind collided with the rear bumper and sensor of the Google AV. The approcimate speed of the Ford Expedition at the time of the impact was 1 mph. There were no injuries reported at the scene by either party. The Google AV sustained minor damage to its rear sensor and bumper. There was no visible damage to the Ford Expedition. ","7, 8, 9",37.389006,-122.087832,509500,3025,3,39.6,1624,871,45,214,365,129,107042
Waymo LLC,6/4/15,8:54 AM,2012,Lexus,RX450h,California Street and Rengstorff Ave,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,None,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling southbound on Shoreline Blvd. in Mountain View in autonomous mode and was stopped behind traffic at a red light at the intersection of California St. and Rengstorff Ave. A vehicle approaching from behind collided with the rear bumper of the Google AV. The Google AV was stopped for approximately 17 seconds prior to the collision. The approximate speed of the other vehicle at the time of impact was <1mph.  There were no injuries reported at the scene by either party. The google av sustained no damage and there were no visible damage to the other vehicle. ","7, 8, 9",37.39898,-122.09995,509404,3003,3,,,,,,,0,
Waymo LLC,6/18/15,11:15 AM,Unknown,Lexus,RX450h,California and Bryant,Mountain View,Santa Clara,94041,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling southbound on California St. in Mountain View ina utonomous mode and was stopped at a red light in the straight only lane at the intersection of California St and Bryant St. The lane to the left of the google av was a left turn only lane. The vehicle waiitng immediately behind the google av in the straigh only lane began to move forward when the green arrow left turn signal appeared (despite the signal for the straight only lane remaining red) and collided with the rear bumper of the google av. the google av had been stopped for about 11 seconds at the time of impact. The other vehicle was traveling about 5 mph at the time of the impact. There were no injuries reported at the scene by either party. The google av sustained minor damage (scrapes) to its rear bumper. The other vehicle sustained minor damage (scrapes) to  its front bumper. ","7, 8, 9",37.391689,-122.08164,509600,2022,2,,,,,,,0,
Waymo LLC,7/1/15,6:16 PM,2012,Lexus,RX450h,Grant Rd. and Phyllis Ave,Mountain View,Santa Clara,94043,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,4,"The driver, co-driver and rear passenger of the Google AV reported some whiplash. The driver of other vehicle reported minor neck and back pain","A Google Lexus model autonomous vehicle (""Google AV"") was traveling northbound on Grant Rd. in Mountain View approaching the
intersection of Phyllis Ave. and Martens Ave. in autonomous mode. The two vehicles in front of the Google AV, the Google AV, and the
vehicle behind the Google AV were all traveling at a steady speed of - 15 mph. While approaching a green light intersection with stopped traffic on the other side of the intersection, the first vehicle decelerated and came to a stop, keeping clear of the intersection. The vehicle directly in front of the Google AV and the Google AV also decelerated and came to a stop with adequate and similar stopping distances. About 1 second later, the vehicle approaching from the rear struck the Google AV at ~ 17mph and did not appear to decelerate prior to the collision. At the time of the incident, the driver, co-driver, and rear passenger of the Google AV reported some whiplash. They were driven by other team members to a local hospital, where they were evaluated by medical staff and cleared to return to work. The driver of the other vehicle reported minor neck and back pain. The Google AV sustained minor damage to its rear bumper. The other vehicle sustained
significant damage to its front end.","7, 8, 9",37.376149,-122.07633,509902,1006,1,,,,,,,0,
Waymo LLC,8/20/15,9:36 AM,Unknown,Lexus,RX450h,Shoreline Blvd and High School Way,Mountain View,Santa Clara,94040,Moving,Moving,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,1,"The Google AV test driver reported minor back pain and was takento a local hospital by Google employees, where he was evaluated and released by medical staff","A Google Lexus autonomous vehicle (""Google AV"") operating in autonomous mode and traveling northbound on Shoreline BIvd. in
Mountain View in lane two (the second of three lanes) was involved in an accident. As the Google AV approached the intersection of
Shoreline Blvd. and High School way, a pedestrian began to cross the northbound lanes of Shoreline Blvd. in the crosswalk traveling
westbound. The Google AV slowed to yield as it approached the crosswalk, and out of an abundance of caution the Google AV test driver
disengaged the autonomous technology and took control of the vehicle. A vehicle in lane three to the immediate right of, and traveling in the
same direction as, the Google AV was already stopped and yielding the right of way to the pedestrian. A vehicle in the process of changing
lanes from lane one into lane two and approaching from the rear struck the Google AV. The Google AV was travelling 5 mph at the time of
impact, and braking to stop for the crosswalk. The other vehicle was travelling approximately 10 mph at the time of impact.
The Google AV test driver reported minor back pain and was taken to a local hospital by Google employees, where he was evaluated and
released by medical staff. The Google AV co-test driver did not report any injuries. The Google AV sustained minor damage to its rear left
bumper. The other vehicle sustained moderate damage to its front end and was towed from the scene. The driver of the other vehicle did
not report any injuries at the scene.","6, 7",37.38821,-122.08647,509600,1002,1,,,,,,,0,
Waymo LLC,11/2/15,2:30 PM,2012,Lexus,RX450h,Clark Ave and El Camino Real,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""Google AV"") in autonomous mode travelling northbound on Clark Ave in Mountain View
was involved in an accident. As the Google AV approached the intersection of Clark St. and El Camino Real it activated its turn signal to
indicate its intention to make a right turn on El Camino Real. The Google A V came to a complete stop at a red light at the intersection and
then b e g a n t o slowly a d v a n c e in order to get a better view o f cross traffic on E l C a m i n o R e a l approaching from the left to determine
whether it was clear to make the right turn on red. A vehicle approaching from behind stopped and then rolled forward and collided with the
rear bumper of the Google A V. The approximate speed of the other vehicle at the time of impact was 4 MPH. The speed of the Google AV
at the timo of impact was below 1 MPH.
There were no injuries reported at the scene by cither party. The Google AV sustained minor damage to the rear bumper. The other vehicle
sustained minor damage to the passenger side headlight, vehicle hood, and front bumper.","7, 8, 9",37.39403,-122.09819,509403,3003,3,,,,,,,0,
